name,price,short_description,rating,number_of_reviews,product_description
"[2+2 Pack] for Pixel 6 5G Screen Protector and Camera Lens Protector Bubble-Free Compatible Fingerprint Full Coverage 9H Hardness Tempered Glass Protector for Google Pixel 6 (6.4"")",$8.99,"【Exclusively designed For Google Pixel 6 】: Precise cutouts, Full coverage protect the whole screen and Suitable for use with soft phone case to prevent edges-peeling up., compatible with most For Google Pixel 6 cases and covers. 【9H Hardness】Nano-level Precision Cutting Process tempered Glass For Google Pixel 6 Will fit your Screen Perfectly and gives your phone maximum Protection from drops, Scratches and Scrapes With an industry-leading Glass Strength of 9H hardness. 【High Sensitivity Touching】The ultra-thin thickness of only 0.25mm maintains the original sensitivity and comfortable touch，promising original high-response touch feeling without any interference. Ultra clear 99% High-Transparency provides you high-definition clear viewing. 【Easy Installation】: Easy no trouble and bubble-free installation that easily fits your device’s screen. Easy to apply and remove. Clear acrylic adhesive won’t leave residue. The anti-fingerprint, oleophobic coating resists smudges to maintain the HD clarity of your display. 【100% satisfaction promise】: If you encounter any problems during use, please send us an email. We will solve it for you as soon as possible. And thank you for your trust in our company",4.3 out of 5,"1,170 global ratings","Compatible Models: For Google Pixel 6 (6.4"") PLEASE NOTE!!! 1: Make sure that the fingerprint part of the screen protector is completely attached to the screen. 2：Press outwards around the fingerprint recognition ring to ensure no bubbles, and After pasting the tempered film, re-enter the fingerprint to unlock more sensitively (IMPORTANTLY) 3： Surface Full Coverage Screen Protectors , Case Friendly with most phone cases 5: 9H hardness tempered glass that can powerfully resist wear & scratches, impact & drop; offering durable protection to your Galaxy Pixel 6 . 6:Scratch terminator: 9H Hardness, harder than a knife's blade. it is not exaggerated to say this screen protector is terminator to any possible scratches by keys, knife or other sharp objects. 7:High Transparency: 99.99% transparency preserves the original screen brightness. You can enjoy a great viewing experience with more brightness and less glare. Package: 2 x For Google Pixel 6 Tempered Glass Screen Protector 2 x For Google Pixel 6 Camera lens Film 1 xInstallation Kit"
Venito Florence Leather Wallet Phone Case Compatible with iPhone 11 Pro - Extra Secure with RFID Blocking - Detachable Phone Wallet (Coffee Brown),$59.90,"About this item COMPATIBILITY | Florence Handcrafted Non-Magnet Slide in Detachable Leather Wallet Case Phone Wallet is compatible with iPhone 11 Pro (5.8 inch). Please make sure you order the right size case for your phone. This case doesn’t fit either iPhone 11 (6.1 inch) or iPhone 11 Pro Max (6.5 inch) PREMIUM QUALITY | Handcrafted of High Quality Cowhide Full-Grain Leather with exceptional craftsmanship gained by experience of years. Well-finished exquisite stitches offer this carrying pocket not only long lasting durability but also an elegant look ULTIMATE PROTECTION | High quality genuine leather outer layer and suede inner lining provide ultimate protection to your smartphone against droppings, bumps, scratches, dust, and etc. It also comes with RFID Blocking shield placed underneath the leather, which will provide additional protection against electronic pickpocketing ELEGANT DESIGN | Florence collection has emerged both with the subtlety and functionality of its design and the quality of the leather used in its production. Consisting of two parts, namely inner snap-on cover and detachable outer wallet case, this product is an exquisite piece with its non-magnet sliding mechanism. Wouldn't you like to have ultimate protection in unique elegancy? ADDITIONAL FEATURES | Easy access to charging and earphone ports with precise cut-outs | Wireless charging friendly: it works well with QI wireless chargers | Perfect Gift: coming in an elegant box, perfect as Mother’s Day Gift, Valentine’s Day Gift, Father’s Day Gift, Anniversary Gift, Graduation Gift | Premium Customer Service: Our priority is providing you with exceptional customer service, if you have any questions or comments feel free to ask, we’ll try to respond in a timely manner",4.7 out of 5,5 global ratings,"Comes with RFID Blocking *RFID protection is an innovative technology which blocks unwanted scans, ensuring that your ID and credit cards, therefore your financial and personal information remain private and confidential. Feel safer with a built-in RFID blocking material on your phone case from electronic thieves and pickpoketing since stealing information from your cards will be much harder. It is an all- in- one cover case, stand case, and wallet. Integrates your phone and wallet into one ultra functional minimalist tool With its state of the art design and non-magnet slider connector on the back of this wallet case, your smartphone is safe from any harm from the magnet Shock-absorbent padding on the back provides better protection for your smartphone and a softer feel Made of Premium Quality Cowhide Full-Grain Leather* *Full-grain leather is considered the strongest and most durable type of leather. It is designed to resist moisture and over time look more beautiful, developing its own characteristic rich patina over the course of its life Full protection of your phone all around edges and on the screen Interior shell covered with top quality suede finish which prevents scratches Easy access to charging and earphone ports Compatible with wireless charging (place only the inner snap-on case holding the phone onto a wireless charger) Available in various colors for all tastes Perfect fit for iPHONE11 PRO (5.8 inch) Comes in an elegant package Perfect gift idea"
TIYA for Huawei Mate 20 Pro Case Black [Ring Armor Series] Protective Magnetic Carriage Cover funda,$9.90,"About this item The Huawei Mate 20 Pro case is made The inner shell is made from TPU, which is flexible, and the outer case is hard PC (poly-carbonate) material. Hybrid armor hard PC cover and impact resistant shockproof soft rubber bumper.Improved peripheral access: Precise cutouts and design, easy access to all buttons, cameras and ports. Built in 360 degree rotating kickstand can meet your eyes to find a comfortable viewing position.With a ring support,prevent your phone from falling from your hands. Take photos, text, or talk without worrying about dropping your valuable device. Special Features: Creative magnetism Car bracket ring shell. TIYA designed for Huawei Mate 20 Pro.",4.4 out of 5,75 global ratings,"Brand :TIYA Name :TIYA Huawei Mate 20 Pro Ring Case inside Mate 20 Pro Case * 1 Products with six months warranty. If there is any question, please don't hesitate to contact us firstly via Amazon message system. We will reply you asap within 24 hours and try our best to solve your problems. It is also noted that all pictures we attach are taken under the most natural condition of the products. But even so, the color difference may still exist due to the different image resolution of different computers and mobiles."
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
6 Pack [Apple MFi Certified] 3/3/6/6/10/10 FT iPhone Charger MUXA Colorful Nylon Lightning Cable Compatible iPhone 13 mini/13/12/11 Pro Max/XR/XS/X/8/7/Plus/6S/6/SE/5S/iPad,$11.99,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) ♦Multiple Enjoyment♦ : Precise interface design, Fits enoughly to your charging port, no need to remove the phone case, solve tedious troubles, and charge when you want to charge all the time.Cables long enough to be convenient to charge your device in bedroom, sofa, office, travel，even when you are on the backseat of the car. ♦MFi Certified iPhone Charger♦ : MFI Certified Lightning Cable, Built with terminal and smart chip, ensured safe charging for your devices and Enjoy fast charge and data transfer. ♦Strengthened Durability♦ : It will be more durable than iPhone cable you have ever seen. It has a service life of 12 times longer than other cables, and has been proven to withstand 12,000 cycles + bending in rigorous laboratory tests. ♦Sweet Service♦ : If you have any questions about the product, please don't hesitate to contact us immediately and we will answer you within 24 hours.",4.5 out of 5,"6,309 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
"Ailun 2 Pack Screen Protector Compatible for iPhone 13 [6.1 inch Display]with 2 Pack Tempered Glass Camera Lens Protector,[9H Hardness]-HD",$8.88,"About this item Works For iPhone 13 6.1 Inch display 2021 tempered glass screen protector and camera lens protector.Featuring maximum protection from scratches, scrapes, and bumps. Night shooting function: specially designed iPhone 13 6.1 Inch display 2021 camera lens protective film.The camera lens protector adopts the new technology of ""seamless"" integration of augmented reality, with light transmittance and night shooting function, without the need to design the flash hole position, when the flash is turned on at night, the original quality of photos and videos can be restored. It is 100% brand new,Precise laser cut tempered glass, exquisitely polished,0.33mm ultra-thin tempered glass screen protector maintains the original response sensitivity and touch, bringing you a good touch experience. Easiest Installation - Please watch our installation video tutorial before installation.Removing dust and aligning it properly before actual installation,no worrying about bubbles,enjoy your screen as if it wasn't there. 99.99% High-definition clear hydrophobic and oleophobic screen coating protects against sweat and oil residue from fingerprints,and enhance the visibility of the screen.",4.6 out of 5,"7,817 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Blue,Page 1 of 1,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) [stereo sound quality] TOZO T10 Earbuds' 8mm large size speaker driver (the drive area is 1.77 times than the normal drive area) delivers powerful bass( lowest 16Hz), mellow midrange, and clear treble(up to 20kHz). Reproducing your music vividly. [ BLUETOOTH 5.0] Features with the advanced Bluetooth 5.0 technology, TOZO T10 Earbuds support HSP HFP A2DP AVRCP, which provides instant pairing and stable transmission without interruptions. [One step pairing] Simply take 2 headsets out from the charging case, and they will connect each other automatically and then only one step easily enter mobile phone Bluetooth setting to pair the earbuds. [IPX8 waterproof] Earbuds and charging case inner Nano-coating makes it possible to waterproof for 1 meters deep for 30 minutes. Waterproof and sweatproof lastest technology can effectively prevent from the damage of the splash by sweat and raindrops. [Charge on the go] Playtime lasts for over 6 hours from single charge and total 30 hours with charging case. Enjoy fast charging, to fully charge the rechargerable case only 1.5 hours via fast charge USB-C cable or less than 2 hours via wireless charger. Providing convenient charging way with no strings attached.",4.3 out of 5,"286,944 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
TIYA for Huawei Mate 20 Case Gold [Ring Armor Series] Protective Magnetic Carriage Mate20 Cover,$8.90,"About this item The Huawei Mate 20 case is made The inner shell is made from TPU, which is flexible, and the outer case is hard PC (poly-carbonate) material. Hybrid armor hard PC cover and impact resistant shockproof soft rubber bumper.Improved peripheral access: Precise cutouts and design, easy access to all buttons, cameras and ports. Built in 360 degree rotating kickstand can meet your eyes to find a comfortable viewing position.With a ring support,prevent your phone from falling from your hands. Take photos, text, or talk without worrying about dropping your valuable device. Special Features: Creative magnetism Car bracket ring shell. TIYA designed for Huawei Mate 20.",5 out of 5,1 global rating,"Brand :TIYA Name :TIYA Huawei Mate 20 Ring Case inside Mate 20 Case * 1 Products with six months warranty. If there is any question, please don't hesitate to contact us firstly via Amazon message system. We will reply you asap within 24 hours and try our best to solve your problems. It is also noted that all pictures we attach are taken under the most natural condition of the products. But even so, the color difference may still exist due to the different image resolution of different computers and mobiles."
"Gameboy Case for iPhone, Autbye Retro 3D Phone Case Game Console with 36 Classic Game, Color Display Shockproof Video Game Phone Case for iPhone(Black, for iPhone 11)",$20.99,"About this item ??【Clear Full Color Display Gameboy Phone Case】Different from other for iphone cases on the market, our mobile phone case have a retro design with 36 categories of retro games.The gameboy cover case for Apple iPhone is first cell phone case can play game. Eye-catching and funny case , Retro design with gameboy, outstanding your iPhone among your friends. ??【EASY TO USE】This video game phone case comes with very sensitive keys, easy to operate, ABS + TPU materials is odorless and it's more hard, durable.Built-in high quality lithium battery.This gaming case for iphone only takes 1 hour to fully charge and can last up to 5 hours. ??【Perfectly Phone Protective Case】Comes with various size to fit your iPhone 6/6S or 6/6S plus or 7/8 or 7/8 plus or XS MAX. Comfortable feel, has precise cutouts for speakers, charging ports, audio ports and buttons; Easy to install and remove. ??【Recapture Childhood Memories】Game case for iPhone make you enjoy Games at Your Spare Time. Have Fun Just like a Child Whether in the Plane, Travelling, Waiting for a Taxi, Family Day or Friends Gathering, Very Relaxed, not Boring Anymore. Happy for All Day Trip. ??【Playable Protective Phone Case】 The Gameboy iPhone case isn’t only a handheld game console, also a phone protector cover, which is drop-proof, shockproof, dust-proof and scratch-resistance.The gameboy phone case is your perfect retro portable game partner, a must-have companion to kill time and stress relief, super interesting and amazing!",4.1 out of 5,"7,707 global ratings",nan
"YESPURE Crossbody Case for Google Pixel 3,Case for Google Pixel 3,Clear Transparent TPU Soft Case for Google Pixel 3 Holder with Neck Cord Lanyard Strap-Clear ( for Google Pixel 3,red-Beige)",$10.99,"PERFECT FIT CASE ---- This case compatible with Google Pixel 3 CONVENIENT STRAP ---- The mobile phone necklace has clean, elegant cord ends made of brass material. Perfect to have your hands free while doing other things. SHOCK ABSORPTION CASE ---- Not bulky, not flimsy, but it can provide adequate protection, scratch resistant and absorb the pressure HIGH QUALITY TPU---- Made of flexible and soft TPU material, easy to install and remove. Precise cutouts for speakers, power port, audio port and buttons NEWEST DESIGN CASE ---- New The fashionable design will display your Phone beautifully.",4.8 out of 5,4 global ratings,"PERFECT FIT CASE This case compatible with Google Pixel 3 CONVENIENT STRAP The mobile iphone necklace has clean, elegant cord ends made of brass material. Perfect to have your hands free while doing other things. SHOCK ABSORPTION CASE Not bulky, not flimsy, but it can provide adequate protection, scratch resistant and absorb the pressure HIGH QUALITY TPU Made of flexible and soft TPU material, easy to install and remove. Precise cutouts for speakers, power port, audio port and buttons NEWEST DESIGN CASE New The fashionable design will display your Phone beautifully. Package:1 x Crossbody Case for Google Pixel 3 1 x Replaceable White Metal Leather Rope"
"iPhone Tripod Mount Adapter Universal Cell Phone Tripod Mount, Vertical Horizontal Adjustable Clamp 2.3~4.0"" Wide",$9.30,"Better shots with dual flexible models: Items come with the cell phone tripod and mount adapter together, you can use them together or separately with different scenes, both of them are rotatable design, the tripod mount adapter also has three mount points, you can capture level shots on almost any surface, even wrap the flexible tripod legs around a lamp or tree. Sturdy construction and protection: With high quality engineering plastic it keeps lightweight and sturdy; Soft protective rubber and metal screw structure can hold and protect your phone; Metal ball and screw ensure a more durable and better lifetime even with frequently use; 3mm diameter pure aluminum material will keeps the three legs with better ductility and Load-bearing; Lightweight for a travel: The whole weight of cell phone tripod and mount adapter are just 128g , while the tripod is just 50g, you can put them into your bag integrally or individually as your needs. Various mount compatible: This cell phone tripod can also use for Video Slider, Ring Light, and Stabilizer. Also fits for most cell phone with or without a cased (width between 2.25inches-3inches ), such as iphone X, iPhone 7, 8, 7 plus, iPhone 6s, iPhone 6s plus, iPhone 6, iphone SE/5s/5/5c,Samsung Galaxy S7/S6,Galaxy S7/S6 edge, Note 5/4/3, etc. Quality Guarantee: we offers a full 90 days 100% money back guarantee, so contact with us if you have problems.",4.6 out of 5,959 global ratings,Phone holder
Venito Florence Leather Wallet Phone Case Compatible with iPhone X and iPhone Xs - Extra Secure with RFID Blocking - Detachable Phone Wallet - Antique Brown,$69.90,"About this item COMPATIBILITY | Florence Handcrafted Non-Magnet Slide in Detachable Leather Wallet Case Phone Wallet is compatible with iPhone X (5.8 inch) and iPhone XS (5.8 inch). Please make sure you order the right size case for your phone. This case doesn’t fit either iPhone X (5.8 inch), iPhone XS Max (6.5 inch) or iPhone XR (6.1 inch) PREMIUM QUALITY | Handcrafted of High Quality Cowhide Full-Grain Leather with exceptional craftsmanship gained by experience of years. Well-finished exquisite stitches offer this carrying pocket not only long lasting durability but also an elegant look ULTIMATE PROTECTION | High quality genuine leather outer layer and suede inner lining provide ultimate protection to your smartphone against droppings, bumps, scratches, dust, and etc. It also comes with RFID Blocking shield placed underneath the leather, which will provide additional protection against electronic pickpocketing ELEGANT DESIGN | Florence collection has emerged both with the subtlety and functionality of its design and the quality of the leather used in its production. Consisting of two parts, namely inner snap-on cover and detachable outer wallet case, this product is an exquisite piece with its non-magnet sliding mechanism. Wouldn't you like to have ultimate protection in unique elegancy? ADDITIONAL FEATURES | Easy access to charging and earphone ports with precise cut-outs | Wireless charging friendly: it works well with QI wireless chargers | Perfect Gift: coming in an elegant box, perfect as Mother’s Day Gift, Valentine’s Day Gift, Father’s Day Gift, Anniversary Gift, Graduation Gift | Premium Customer Service: Our priority is providing you with exceptional customer service, if you have any questions or comments feel free to ask, we’ll try to respond in a timely manner",4.8 out of 5,8 global ratings,"Comes with RFID Blocking *RFID protection is an innovative technology which blocks unwanted scans, ensuring that your ID and credit cards, therefore your financial and personal information remain private and confidential. Feel safer with a built-in RFID blocking material on your phone case from electronic thieves and pickpoketing since stealing information from your cards will be much harder. It is an all- in- one cover case, stand case, and wallet. Integrates your phone and wallet into one ultra functional minimalist tool With its state of the art design and non-magnet slider connector on the back of this wallet case, your smartphone is safe from any harm from the magnet Shock-absorbent padding on the back provides better protection for your smartphone and a softer feel Made of Premium Quality Cowhide Full-Grain Leather* *Full-grain leather is considered the strongest and most durable type of leather. It is designed to resist moisture and over time look more beautiful, developing its own characteristic rich patina over the course of its life Full protection of your phone all around edges and on the screen Interior shell covered with top quality suede finish which prevents scratches Easy access to charging and earphone ports Compatible with wireless charging (place only the inner snap-on case holding the phone onto a wireless charger) Available in various colors for all tastes Perfect fit for iPHONE X (5.8 inch) and iPhone XS (5.8 inch) Comes in an elegant package Perfect gift idea"
"for iPhone Xs iPhone X Wallet Case - Urvoix Premium Leather Zipper Purse with Strap, Detachable Removable Magnetic Case with Card Holder Flip Cover for iPhone 10(5.8-inch Screen), Brown",$22.99,"About this item Vintage designed case for iPhone Xs / X, Suitable for Women, Girls and Teens of all ages. Separatable Magnetic inner slim case can be used for single carrying. Or you may grab the wallet leather cover by hand strap for convenient carrying. Provide functionality and protection with the all in one design, folder wallet pocket style case; multiple card slots for placing credit cards, cash, coins, photo, ID, etc Zipper wallet makes sure all your cards, money and personal staffs stay inside securely; a snap button to close the entire case to provide double safety Smooth leather material design makes this wallet case comfortable to touch and grip. Keep your phone anti scratch/slip, precise cut-outs give you full access to all ports.",4.1 out of 5,67 global ratings,nan
TIYA for Huawei Mate 20 Case Gold [Ring Armor Series] Protective Magnetic Carriage Mate20 Cover,$8.90,"About this item The Huawei Mate 20 case is made The inner shell is made from TPU, which is flexible, and the outer case is hard PC (poly-carbonate) material. Hybrid armor hard PC cover and impact resistant shockproof soft rubber bumper.Improved peripheral access: Precise cutouts and design, easy access to all buttons, cameras and ports. Built in 360 degree rotating kickstand can meet your eyes to find a comfortable viewing position.With a ring support,prevent your phone from falling from your hands. Take photos, text, or talk without worrying about dropping your valuable device. Special Features: Creative magnetism Car bracket ring shell. TIYA designed for Huawei Mate 20.",5 out of 5,1 global rating,"Brand :TIYA Name :TIYA Huawei Mate 20 Ring Case inside Mate 20 Case * 1 Products with six months warranty. If there is any question, please don't hesitate to contact us firstly via Amazon message system. We will reply you asap within 24 hours and try our best to solve your problems. It is also noted that all pictures we attach are taken under the most natural condition of the products. But even so, the color difference may still exist due to the different image resolution of different computers and mobiles."
CaliCase Universal Waterproof Floating Case Pouch - American Flag,$29.99,About this item DOUBLE THE PROTECTION - CaliCase uses 2 layers of high quality PVC plastic which ensures maximum waterproof protection and long term use. PHOTOS & VIDEO UNDERWATER - Take photos & video in a snap with the double sided crystal clear windows. (Waterproof IPX8 certified up to 100 feet underwater.) FLOATS - No more stress about your phone sinking to the bottom of the ocean. CaliCase floats so you can enjoy yourself around the water knowing your valuables are safe. FITS YOUR PHONE - Universal size fits all phones including of 6'1 inches in height and under. 100% MONEY BACK GUARANTEE W/ LIFETIME WARRANTY - No questions asked returns with a lifetime warranty!,4.4 out of 5,"2,292 global ratings","3 reasons why you should buy a CaliCase? #1 PROTECTION - We use the highest quality available materials which includes 2 layers of PVC plastic, our competitors use just 1. Big difference! LIFETIME WARRANTY - No questions asked, because we believe in our product! WE FLOAT! - Take your case underwater with the peace of mind of knowing your case won’t sink to the bottom if it slips from your hand. The added foam insert will help your case float to the top of the water. Comes with: (1) Waterproof case (1) Lanyard (1) Carabiner (1) Microfiber Cloth"
Purple Bible Case - Large,$21.95,"This medium Bible cover features ""Jesus Name Above All Names"" sentiment. On purple background with front pocket, full zippered closure and handle. Bible cover outside dimensions measure approximately 7.25 x 10.25 x 2 inches. Accommodates a large Bible or book that is 6.5 x 9.25 x 1.75 inches or smaller. Features a beautiful polyester material and is spot clean only. Lays flat when open to fully view bible without removing. The perfect way to protect God's word. Ships in protective packaging. Ready to be gifted for that spiritual person in your life.",5 out of 5,5 global ratings,"Fits books up to 6 1/2"" x 9 1/4"" x 1 3/4"" Front pocket. This Bible cover comes with 3 colorful, double-sided tags that offer 6 inspiring verses. Simply choose the verse you want, and snap it into place. The different verses are as follows ""Jesus; name above all names,"" ""Thy word is a lamp unto my feet and a light unto my path,"" ""Let everything that has breath, praise the Lord!"" ""Draw me close to you...never let me go,"" ""The Lord bless you and keep you,"" and ""Be still and know that I am God."""
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
"USB C Female to USB A Male Adapter 2 Pack,Type C Charger Cable Adapter for iPhone 11 12 13 Mini Pro Max SE,Airpods iPad Air 4 2020 2021,Samsung Galaxy Note 10 S20 Plus 20 S21 FE Ultra,Google Pixel 6",$10.99,"About this item This fits your . Make sure this fits by entering your model number. P.when(""ReplacementPartsBulletLoader"").execute(function(module){ module.initializeDPX(); }) BE AWARE OF THE LIMITATION: This is a USB-C female to USB-A male adapter designed for charging or data transfer and it will NOT support video signal transmission. With this little dongle plugged into an available standard USB port, your legacy devices (charger, power bank, computer) can turn into a USB-C enabled platform. You can easily hook up any USB-C peripherals (USB Type-C cable, USB Type-C flash drive, USB Type-C hub) that make use of the newer USB-C connector. This adapter offers data transfer speeds of up to 480 Mbps between connected devices and also supports up to 2 Amps of power output for charging your devices. Enjoy the fast and safe charging. Our aluminum-alloy-bodied dongle occupies very little space and can plug directly onto the end of your USB-A hardware, so you won’t have to worry about carrying it around.",4.6 out of 5,"55,436 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
"Yootech Wireless Charger,10W Max Fast Wireless Charging Pad Compatible with iPhone 13/13 Pro/13 Mini/13 Pro Max/SE 2022/12/SE 2020/11/X/8,Samsung Galaxy S22/S21/S20/S10,AirPods Pro(No AC Adapter)",$16.99,"About this item 【3 Charging modes Available for Different Phones】7.5W charging mode is for iPhone 13/13 Pro/13 Mini/13 Pro Max/12/SE 2022/11/XS/XR/X/8 with latest iOS System; 10W charging mode is compatible with S22/S22 Ultra/S21/S20/Note 10/S10/S10E and so on; 5W charging mode works on Any wireless-charging-enabled devices like Google Pixel 3/3XL/4XL and other wireless-charging-enabled phones. Note: Adapter is Not Included, QC 2.0/3.0 adapter will be highly recommended. 【Unique Design Perfect for AirPods】 It is compatible with AirPods (with wireless charging case) and AirPods Pro. The size of the AirPods fits perfectly into the charging area of the wireless charging pad, perfect wireless charging companion for AirPods, easier to find the “Sweet Spot”. Also, both top and bottom have a rubber ring, will keep your AirPods in place and prevent slippage. 【Safer and Easier to USE】Exclusive Multifunctional Intelligent Protect Technology provides temperature control, surge protection, short-circuit prevention. Besides that, this wireless chargers is made of ABS Material which is fire-resistant, and has a UL Certificate, you can purchase it at assurance. Double guarantee and dual safety provide you safety experience. To get better experience, we would like you to take off the phone case and use the adapters recommended (NOT INCLUDED). 【More User-friendly Design】SLEEP-FRIENDLY DESIGN. The GREEN LED Indicator will flash for 3s if power source is connected, then turn on for 16s if recognizes your phone well. Entering charging mode, light will turn off and keep the whole charging process SLEEP-FRIENDLY. 【PACKAGE & SERVICE】You will get 1 x Wireless Charging Pad, 1 x 3. 3ft USB Type C Cable, 1 x User Manner and reliable 12-hour response service. At Yootech, zero risk purchase is for every customer's smiles.",4.3 out of 5,"144,270 global ratings",nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
